objectid,shape,arc_street,facility,addresstyp,zipcode,adhc,type_certb,certbeds,type_licbe,licbeds,location,phone_no,contact,contact_ti,license_no,provider_n,town
1,"(21.39803658200003, -157.79813746499997)",450545 KAM HWY.,ALOHA NURSING & REHAB CENTER,45-545 Kam Hwy.,96744,,SNF/NF,141,SNF/IF,141,Oahu,(808)235-3676,Donna  M. Wong,Administrator,28-N,125048,Kaneohe
2,"(21.41467414300007, -157.79497284299998)",450181 WAIKALUA RD.,ANN PEARL NURSING FACILITY,45-181 Waikalua Rd.,96744,Y,SNF/NF,104,SNF/ICF,104,Oahu,(808) 247-8558,Randall Hata,Administrator,57-N,125048,Kaneohe
3,"(21.301438478000023, -157.83359799199997)",1434 Punahou St.,ARCADIA RETIREMENT RESIDENCE,1434 Punahou St.,96822,,SNF,11,SNF/ICF,66,Oahu,(808) 941-0941,Karen Thorp,Administrator,13-N,125014,Honolulu
4,"(21.345118204000073, -157.87011152099998)",1930 KAM IV RD.,"AVALON CARE CENTER - HONOLULU, LLC",1930 Kamehameha IV Rd.,96819,,SNF/NF,108,SNF/ICF,108,Oahu,(808) 847-4834,Denise M. Bilodeau,Administrator,19-N,125020,Honolulu
5,"(21.381400969000026, -157.75723589899997)",640 Ulukahiki St.,CASTLE MEDICAL CENTER,640 Ulukahiki St.,96734,,SNF/NF,10,SNF,10,Oahu,(808) 263-5500,Kevin A. Roberts,President/CEO,32-N,125039,Kailua
6,"(21.32301234600004, -157.85501964499997)",1900 Bachelot St.,CONVALESCENT CENTER OF HONOLULU,1900 Bachelot St.,96817,,SNF/NF,182,SNF/ICF,182,Oahu,(808) 531-5302,"C. Gerald Powers, Ph.D",Administrator,16-N,125019,Honolulu
7,"(21.686621915000046, -158.02396966099997)",580130 KAM HWY.,CRAWFORD'S CONVALESCENT HOME,58-130 Kam Hwy.,96712,,NF,51,ICF,51,Oahu,(808) 638-8514,Alice Kim Lew,Administrator,6-ICF,120000,Haleiwa
8,"(21.324317903000065, -157.84327805399997)",2670 PACIFIC HTS DR,HALE HO ALOHA,2670 Pacific Heights R,96813,,,,SNF/ICF,85,Oahu,(808) 524-1955,Neil Oyama,Administrator,56-N,,Honolulu
9,"(21.28536150800005, -157.72068107699997)",6163 Summer St.,HALE MALAMALAMA,6163 Summer St.,96821,,SNF/NF,40,SNF/ICF,40,Oahu,(808) 396-0537,Pauline Y. O. Fukumura,Administrator,53-N,125050,Honolulu
10,"(21.308630767000068, -157.83993746699997)",1677 Pensacola St.,HALE NANI REHABILITATION AND NURSING CENTER,1677 Pensacola St.,96822,,SNF/NF,288,SNF/ICF,288,Oahu,(808) 537-3371,David A. Kowalski,Senior Executive Director,64-N,125011,Honolulu
11,"(21.298734307000075, -157.83689442099998)",1314 Kalakaua Ave.,HALE OLA KINO,1314 Kalakaua Ave.,96826,,SNF/IF,32,SNF/ICF,32,Oahu,(808) 983-4400,Kristen Kearnaghan,Administrator,55-N,125047,Honolulu
12,"(21.401662225000052, -157.78445597499996)",450090 NAMOKU ST.,HARRY AND JEANETTE WEINBERG CARE CENTER,45-090 Namoku St.,96744,,SNF/IF,42,SNF/ICF,42,Kauai,(808) 247-1670,Carmela Rice,Administrator,12-N,125033,Kaneohe
13,"(21.28042330100004, -157.78311204899998)",4398 Malia St.,HIOLANI CARE CENTER AT KAHALA NUI,4398 Malia St.,96821,,,,SNF/ICF,60,Hawaii,(808) 218-7400,Cindy Meiers,Administrator,71-N,,Honolulu
14,"(21.387885528000027, -157.73277306399996)",566 Papalani  St.,"HOSPICE HAWAII, INC.",566 Papalani  St.,96734,,,,SNF,5,Oahu,(808) 924-9255,"Kenneth Zeri, RN, MS",President & CPO,50-N,,Honolulu
15,"(21.29756679700006, -157.83197100199996)",1205 Alexander St.,ISLAND NURSING HOME,1205 Alexander St.,96826,,SNF/IF,42,SNF/ICF,42,Oahu,(808) 946-5027,Leland Yagi,Administrator,2-N,125005,Honolulu
16,"(21.337962481000034, -158.07647526999997)",910575 FARRINGTON HWY.,KA PUNAWAI OLA,91-575 Farrington Hwy.,96707,,SNF/IF,120,SNF/ICF,120,Oahu,(808) 674-9262,Walter Long,Executive Director,59-N,125051,Kapolei
17,"(21.677176600000053, -157.95223368699996)",56-117 PUALALEA ST.,KAHUKU HOSPITAL,56-117 Pualalea St.,96731,,SNF/IF,12,SNF,12,Oahu,(808) 293-9221,R. Don Olden,Chief Executive Officer,42-N,125030,Kahuku
18,"(21.322309438000048, -157.85636432399997)",347 North Kuakini St.,KUAKINI GERIATRIC CARE,347 North Kuakini St.,96817,Y,"SNF/IF, NF","40, 147",SNF/ICF,147,Oahu,(808) 547-9357,Gary K. Kajiwara,President & Chief Executive Of,25-N,125026,Honolulu
19,"(21.27352258800005, -157.80116165899997)",3675 Kilauea Ave.,LEAHI HOSPITAL,3675 Kilauea Ave.,96816,Y,SNF/IF,179,"SNF, ICF",0,Oahu,(808) 733-8000,"Vincent H. S. Lee, FACHE",Oahu Region CEO,40-N,125010,Honolulu
20,"(21.469755923000037, -158.20556165199997)",84-390 JADE ST.,LEEWARD INTEGRATED HEALTH SERVICES,84-390 Jade St.,96792,,SNF/NF,93,SNF/ICF,93,Oahu,(808) 695-9508,Patricia M. Bazin,Acting Administrator,54-N,125046,Waianae
21,"(21.323884513000053, -157.85713903399997)",1814 Liliha St.,LILIHA HEALTHCARE CENTER,1814 Liliha St.,96817,,SNF/IF,92,SNF/ICF,92,Oahu,(808) 537-9557,"Nicomedes G. Santos, NHA",Administrator,47-N,125041,Honolulu
22,"(21.36239924800003, -157.90022674899998)",3288 Moanalua Rd.,MALAMA OHANA SKILLED CARE FACILITY,3288 Moanalua Rd.,96819,,SNF/NF,28,SNF,28,Oahu,(808) 432-7723,Susan Murray,Regional Hospital Administrato,29-N,125036,Honolulu
