CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,Phone Number,CMS Region,Measure Code,Score,Footnote,Start Date,End Date,Location 1
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,,BETHEL,AK,99559,BETHEL,(907) 543-6300,10,S_013_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,
030074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",,SELLS,AZ,85634,PIMA,(520) 362-7003,9,S_005_01_DTC_RS_RATE _97_5,Not Available,1,10/01/2016,09/30/2018,
190050,BEAUREGARD MEMORIAL HOSPITAL,600 S PINE STREET,,DERIDDER,LA,70634,BEAUREGARD,(337) 462-7100,6,S_004_01_PPR_PD_OBS,14.52,,10/01/2016,09/30/2018,"600 S PINE STREET DERIDDER, LA 70634 (30.84195, -93.289056)"
190145,LASALLE GENERAL HOSPITAL,187 NINTH ST/HWY 84 WEST,,JENA,LA,71342,LASALLE,(318) 992-9200,6,S_004_01_PPR_PD_VOLUME,14,,10/01/2016,09/30/2018,
270032,NORTHERN MONTANA HOSPITAL,30 13TH ST,,HAVRE,MT,59501,HILL,(406) 265-2211,8,S_005_01_DTC_NUMBER,Not Available,1,10/01/2016,09/30/2018,"30 13TH ST HAVRE, MT 59501 (48.539326, -109.686363)"
320033,LOS ALAMOS MEDICAL CENTER,3917 WEST ROAD,,LOS ALAMOS,NM,87544,LOS ALAMOS,(505) 662-4201,6,S_006_01_MSPB_NUMB,0,,10/01/2016,09/30/2018,"3917 WEST ROAD LOS ALAMOS, NM 87544 (35.882165, -106.319765)"
330211,CLAXTON-HEPBURN MEDICAL CENTER,214 KING STREET,,OGDENSBURG,NY,13669,ST. LAWRENCE,(315) 393-3600,2,S_006_01_MSPB_NUMB,74,,10/01/2016,09/30/2018,"214 KING STREET OGDENSBURG, NY 13669 (44.692091, -75.499934)"
340159,PERSON MEMORIAL HOSPITAL,615 RIDGE RD,,ROXBORO,NC,27573,PERSON,(336) 599-2121,4,S_005_01_DTC_VOLUME,0,,10/01/2016,09/30/2018,"615 RIDGE RD ROXBORO, NC 27573 (36.407549, -78.984763)"
363033,HEALTHSOUTH REHABILITATION HOSPITAL OF DAYTON,ONE ELIZABETH PLACE,,DAYTON,OH,45408,MONTGOMERY,(937) 424-8200,5,S_005_01_DTC_RS_RATE_2_5,Not Available,1,10/01/2016,09/30/2018,
370030,STILLWATER MEDICAL-BLACKWELL,1323 W 6TH AVE,,BLACKWELL,OK,74631,KAY,(580) 363-2311,6,S_013_01_NUMERATOR,Not Available,10,07/01/2018,06/30/2019,
440010,WAYNE MEDICAL CENTER,103 J V MANGUBAT DR,,WAYNESBORO,TN,38485,WAYNE,(931) 722-5411,4,S_004_01_PPR_PD_OBS,9.62,,10/01/2016,09/30/2018,"103 J V MANGUBAT DR WAYNESBORO, TN 38485 (35.325355, -87.757533)"
440200,SAINT THOMAS STONES RIVER HOSPITAL,324 DOOLITTLE ROAD,,WOODBURY,TN,37190,CANNON,(615) 563-4001,4,S_006_01_MSPB_NUMB,0,,10/01/2016,09/30/2018,"324 DOOLITTLE ROAD WOODBURY, TN 37190 (35.832865, -86.072943)"
450078,ANSON GENERAL HOSPITAL,101 AVENUE J,,ANSON,TX,79501,JONES,(325) 823-3231,6,S_006_01_MSPB_NUMB,2,,10/01/2016,09/30/2018,"101 AVENUE J ANSON, TX 79501 (32.768101, -99.895514)"
450108,CONNALLY MEMORIAL MEDICAL CENTER,499 10TH STREET,,FLORESVILLE,TX,78114,WILSON,(830) 393-1300,6,S_005_01_DTC_VOLUME,15,,10/01/2016,09/30/2018,"499 10TH STREET FLORESVILLE, TX 78114 (29.159429, -98.173205)"
450165,METHODIST HOSPITAL SOUTH,1905 HWY 97 EAST,,JOURDANTON,TX,78026,ATASCOSA,(830) 769-3515,6,S_005_01_DTC_OBS_RATE,Not Available,9,10/01/2016,09/30/2018,
450289,HARRIS HEALTH SYSTEM,2525 HOLLY HALL,,HOUSTON,TX,77054,HARRIS,(713) 566-6417,6,S_006_01_MSPB_SCORE,Not Available,1,10/01/2016,09/30/2018,"2525 HOLLY HALL HOUSTON, TX 77054 (29.685422, -95.387094)"
510002,GREENBRIER VALLEY MEDICAL CENTER,1320 MAPLEWOOD AVENUE,,RONCEVERTE,WV,24970,GREENBRIER,(304) 647-4411,3,S_006_01_MSPB_SCORE,0.57,,10/01/2016,09/30/2018,
510072,WETZEL COUNTY HOSPITAL,#3 EAST BENJAMIN DRIVE,,NEW MARTINSVILLE,WV,26155,WETZEL,(304) 455-8000,3,S_005_01_DTC_RS_RATE,71.65,,10/01/2016,09/30/2018,
520091,HOWARD YOUNG MEDICAL CTR,240 MAPLE ST,,WOODRUFF,WI,54568,ONEIDA,(715) 356-8000,5,S_006_01_MSPB_NUMB,0,,10/01/2016,09/30/2018,"240 MAPLE ST WOODRUFF, WI 54568 (45.89437, -89.701837)"
490038,SMYTH COUNTY COMMUNITY HOSPITAL,245 MEDICAL PARK DRIVE,,MARION,VA,24354,SMYTH,(276) 378-1000,3,S_006_01_MSPB_SCORE,0.36,,10/01/2016,09/30/2018,"245 MEDICAL PARK DRIVE MARION, VA 24354 (36.850466, -81.489801)"
100134,ED FRASER MEMORIAL HOSPITAL,159 N 3RD ST,,MACCLENNY,FL,32063,BAKER,(904) 259-3151,4,S_001_01_DENOMINATOR,Not Available,10,07/01/2018,06/30/2019,"159 N 3RD ST MACCLENNY, FL 32063 (30.28555, -82.11955)"
